trap_ID_decimal,batch_date,trap_status,total_sample_minutes,total_catch,catch_imputed,discharge,discharge_scaled,efficiency_imputed,efficiency,unimputed_efficiency,passage,p.c.imputed,p.e.imputed,jday,week,month,year
Lower Feather River RST RL,4/2/2022,fishing,1454.533333,3,FALSE,3862,0.592997558,0.002898971,0.002898971,NA,1035,0,0.002898971,92,13,4,2022
Lower Feather River RST RL,4/3/2022,fishing,1425.266667,11,FALSE,3494,0.281008536,0.002898971,0.002898971,NA,3794,0,0.002898971,93,13,4,2022
Lower Feather River RST RL,4/4/2022,fishing,1440.35,6,FALSE,3103,-0.050479801,0.002898971,0.002898971,NA,2070,0,0.002898971,94,14,4,2022
Lower Feather River RST RL,4/5/2022,fishing,1589.3,22,FALSE,2902,-0.220886849,0.002898971,0.002898971,NA,7589,0,0.002898971,95,14,4,2022
Lower Feather River RST RL,4/6/2022,fishing,1350.233333,7,FALSE,2774,-0.329404769,0.002898971,0.002898971,NA,2415,0,0.002898971,96,14,4,2022
Lower Feather River RST RL,4/7/2022,fishing,1439.85,1,FALSE,2626,-0.454878615,0.002898971,0.002898971,0,345,0,0.002898971,97,14,4,2022
Lower Feather River RST RL,4/8/2022,fishing,1380.6,1,FALSE,2492,-0.568483314,0.002898971,0.002898971,NA,345,0,0.002898971,98,14,4,2022
Lower Feather River RST RL,4/9/2022,fishing,1470.083333,8,FALSE,2306,-0.726173418,0.002898971,0.002898971,NA,2760,0,0.002898971,99,14,4,2022
Lower Feather River RST RL,4/10/2022,fishing,1424.633333,3,FALSE,2126,-0.878776744,0.002898971,0.002898971,NA,1035,0,0.002898971,100,14,4,2022
Lower Feather River RST RL,4/11/2022,fishing,1485.5,5,FALSE,2001,-0.984751276,0.002898971,0.002898971,NA,1725,0,0.002898971,101,15,4,2022
Lower Feather River RST RL,4/12/2022,fishing,1469.6,6,FALSE,1849,-1.113616307,0.002898971,0.002898971,NA,2070,0,0.002898971,102,15,4,2022
Lower Feather River RST RL,4/13/2022,fishing,1409.816667,2,FALSE,1839,-1.12209427,0.002898971,0.002898971,NA,690,0,0.002898971,103,15,4,2022
Lower Feather River RST RL,4/14/2022,fishing,1440.05,0,FALSE,1800,-1.155158324,0.002898971,0.002898971,0,0,0,0.002898971,104,15,4,2022
Lower Feather River RST RL,4/15/2022,fishing,1410.016667,1,FALSE,1731,-1.213656265,0.002898971,0.002898971,NA,345,0,0.002898971,105,15,4,2022
Lower Feather River RST RL,4/16/2022,fishing,1410.583333,1,FALSE,1629,-1.300131484,0.002898971,0.002898971,NA,345,0,0.002898971,106,15,4,2022
Lower Feather River RST RL,4/17/2022,fishing,1469.933333,0,FALSE,1692,-1.246720319,0.002898971,0.002898971,NA,0,0,0.002898971,107,15,4,2022
Lower Feather River RST RL,4/18/2022,fishing,1439.633333,0,FALSE,1616,-1.311152835,0.002898971,0.002898971,NA,0,0,0.002898971,108,16,4,2022
Lower Feather River RST RL,4/19/2022,fishing,1440.116667,0,FALSE,1587,-1.335738926,0.002898971,0.002898971,NA,0,0,0.002898971,109,16,4,2022
Lower Feather River RST RL,4/20/2022,fishing,1439.65,2,FALSE,1625,-1.303522669,0.002898971,0.002898971,NA,690,0,0.002898971,110,16,4,2022
Lower Feather River RST RL,4/21/2022,fishing,1455.35,0,FALSE,1587,-1.335738926,0.002898971,0.002898971,0,0,0,0.002898971,111,16,4,2022
Lower Feather River RST RL,4/22/2022,fishing,1455,1,FALSE,1810,-1.146680361,0.002898971,0.002898971,NA,345,0,0.002898971,112,16,4,2022
Lower Feather River RST RL,4/23/2022,fishing,1394.466667,2,FALSE,2189,-0.82536558,0.002898971,0.002898971,NA,690,0,0.002898971,113,16,4,2022
Lower Feather River RST RL,4/24/2022,fishing,1470.483333,1,FALSE,1960,-1.019510923,0.002898971,0.002898971,NA,345,0,0.002898971,114,16,4,2022
Lower Feather River RST RL,4/25/2022,fishing,1439.416667,3,FALSE,1741,-1.205178303,0.002898971,0.002898971,NA,1035,0,0.002898971,115,17,4,2022
Lower Feather River RST RL,4/26/2022,fishing,1470.916667,2,FALSE,1712,-1.229764394,0.002898971,0.002898971,NA,690,0,0.002898971,116,17,4,2022
Lower Feather River RST RL,4/27/2022,fishing,1454.283333,2,FALSE,1606,-1.319630798,0.002898971,0.002898971,NA,690,0,0.002898971,117,17,4,2022
Lower Feather River RST RL,4/28/2022,fishing,1365.016667,2,FALSE,1635,-1.295044706,0.002898971,0.002898971,0,690,0,0.002898971,118,17,4,2022
Lower Feather River RST RL,4/29/2022,fishing,1485.133333,3,FALSE,1587,-1.335738926,0.002898971,0.002898971,NA,1035,0,0.002898971,119,17,4,2022
Lower Feather River RST RL,4/30/2022,fishing,1409.8,5,FALSE,1606,-1.319630798,0.002898971,0.002898971,NA,1725,0,0.002898971,120,17,4,2022
Lower Feather River RST RL,5/1/2022,fishing,1440.166667,1,FALSE,1578,-1.343369093,0.002898971,0.002898971,NA,345,0,0.002898971,121,17,5,2022
Lower Feather River RST RL,5/2/2022,fishing,1440.233333,2,FALSE,1582.5,-1.33955401,0.002898971,0.002898971,0,690,0,0.002898971,122,18,5,2022
Lower Feather River RST RL,5/3/2022,fishing,1314.9,4,FALSE,1597,-1.327260964,0.002898971,0.002898971,NA,1380,0,0.002898971,123,18,5,2022
Lower Feather River RST RL,5/4/2022,Not fishing,1440,6.542714375,TRUE,1606,-1.319630798,0.002898971,0.002898971,NA,2257,1,0.002898971,124,18,5,2022
Lower Feather River RST RL,5/4/2022,Not fishing,120.6166667,0.548028055,TRUE,1606,-1.319630798,0.002898971,0.002898971,NA,189,1,0.002898971,124,18,5,2022
Lower Feather River RST RL,5/5/2022,fishing,1350.2,5,FALSE,1578,-1.343369093,0.002898971,0.002898971,NA,1725,0,0.002898971,125,18,5,2022
Lower Feather River RST RL,5/6/2022,fishing,1439.183333,4,FALSE,NA,NA,0.002898971,0.002898971,NA,1380,0,0.002898971,126,18,5,2022
Lower Feather River RST RL,5/7/2022,fishing,1410.133333,2,FALSE,1859,-1.105138345,0.002898971,0.002898971,NA,690,0,0.002898971,127,18,5,2022
Lower Feather River RST RL,5/8/2022,fishing,1470.416667,3,FALSE,1899,-1.071226494,0.002898971,0.002898971,NA,1035,0,0.002898971,128,18,5,2022
Lower Feather River RST RL,5/9/2022,fishing,1394.483333,6,FALSE,2503,-0.559157555,0.002898971,0.002898971,NA,2070,0,0.002898971,129,19,5,2022
Lower Feather River RST RL,5/10/2022,fishing,1484.983333,11,FALSE,2723.5,-0.37221848,0.002898971,0.002898971,0,3794,0,0.002898971,130,19,5,2022
Lower Feather River RST RL,5/11/2022,fishing,1330.1,23,FALSE,2774,-0.329404769,0.002898971,0.002898971,NA,7934,0,0.002898971,131,19,5,2022
Lower Feather River RST RL,5/12/2022,fishing,1485.3,27,FALSE,2797,-0.309905455,0.002898971,0.002898971,NA,9314,0,0.002898971,132,19,5,2022
Lower Feather River RST RL,5/13/2022,fishing,1409.833333,35,FALSE,2809,-0.2997319,0.002898971,0.002898971,NA,12073,0,0.002898971,133,19,5,2022
